ans,errr,ans2,errr2,ans3,errr3,Analytic
1.38709315277498,-0.00468768648690432,1.39181220501128,3.13657493939967e-5,1.39178066488603,-1.74375854200548e-7,1.391780839261883
1.36935128971948,-0.00477110982136231,1.37415432335205,3.19238112123088e-5,1.37412221868040,-1.80860442622333e-7,1.3741223995408414
1.35196426392509,-0.00484935758242466,1.35684606774968,3.24462421688043e-5,1.35681343325424,-1.88253278965433e-7,1.3568136215075142
1.33492497864659,-0.00492259836120912,1.33988051560824,3.29386004422894e-5,1.33984738485789,-1.92149906652617e-7,1.3398475770077969
1.31822647907366,-0.00499100193765023,1.32325088139920,3.34003878899036e-5,1.32321728684119,-1.94170115319636e-7,1.3232174810113062
1.30186194949218,-0.00505473364378051,1.30695051394749,3.38308115286345e-5,1.30691648693869,-1.96197277091414e-7,1.3069166831359633
1.28582471050234,-0.00511395213344890,1.29097289377133,3.42311355434610e-5,1.29093846460865,-1.98027137132684e-7,1.2909386626357882
1.27010821629229,-0.00516881154115922,1.27531163047466,3.46026412074707e-5,1.27527682842478,-1.99408671575085e-7,1.2752770278334518
1.25470605196645,-0.00521946259252526,1.25996046019126,3.49456322892294e-5,1.25992531351953,-2.01039440206330e-7,1.2599255145589718
1.23961193092712,-0.00526605101430455,1.24491324307947,3.52611380518564e-5,1.24487777907809,-2.02863328579994e-7,1.2448779819414222
1.22481969230858,-0.00530871780872855,1.23016396086650,3.55507491967000e-5,1.23012820588198,-2.04235328427060e-7,1.2301284101173038
1.21032329846240,-0.00534760075394169,1.21570671444134,3.58152249984034e-5,1.21567069390124,-2.05315107582038e-7,1.2156708992163454
1.19611683249316,-0.00538283420828134,1.20153572149541,3.60547939681766e-5,1.20149945993440,-2.06767035493272e-7,1.201499666701437
1.18219449584329,-0.00541454766435256,1.18764531420980,3.62707021510644e-5,1.18760883529509,-2.08212558083787e-7,1.1876090435076452
1.16855060592643,-0.00544286656583770,1.17402993698844,3.64644961778904e-5,1.17399326354446,-2.08947800617310e-7,1.1739934724922645
1.15517959380790,-0.00546791407199687,1.16068414423607,3.66363561759009e-5,1.16064729826860,-2.09611296542178e-7,1.1606475078798952
1.14207600193174,-0.00548980953621103,1.14760259818020,3.67867122454957e-5,1.14756560089982,-2.10568135372569e-7,1.1475658114679514
1.12923448189311,-0.00550866795442384,1.13478006673623,3.69168886995563e-5,1.13474293858120,-2.11266331096027e-7,1.1347431498475296
1.11664979225524,-0.00552460174581682,1.12221142141485,3.70274137913018e-5,1.12217418207337,-2.11927687843172e-7,1.1221743940010604
1.10431679641014,-0.00553772157550836,1.10989163527084,3.71172851905133e-5,1.10985430370274,-2.14282903421292e-7,1.1098545179856472
1.09223046048194,-0.00554813311526425,1.09781578089248,3.71872952749097e-5,1.09777837535036,-2.18246842376146e-7,1.0977785935972002
1.08038585127230,-0.00555593837550483,1.08597902843080,3.72387830021026e-5,1.08594156648059,-2.23167215152031e-7,1.085941789647802
